Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR,HBP,ABP,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
E0,23/08/2000,Newcastle,Derby,3,2,H,1,1,D,51327,Dermot Gallagher,9,10,4,5,0,0,9,6,23,11,2,3,0,3,1,0,25,30,1.6,3.3,4.5,1.55,3.3,4.5,1.55,3.5,5,1.53,3.4,6,1.53,3.4,5.5
E0,23/08/2000,Southampton,Coventry,1,2,A,0,1,A,14801,F Taylor,12,7,4,5,0,0,6,5,18,20,0,6,5,3,0,0,50,30,1.9,2.9,3.2,1.9,2.9,3.2,1.8,3.25,3.75,1.75,3.25,4.33,1.7,3.25,4.33
E0,23/08/2000,West Ham,Leicester,0,1,A,0,0,D,25195,Rob Styles,17,4,12,2,1,0,11,5,16,14,3,1,3,3,1,0,55,30,1.8,3.35,3.8,1.65,3.2,3.8,1.8,3.25,3.75,1.75,3.4,4,1.72,3.4,4
E0,26/08/2000,Arsenal,Charlton,5,3,H,1,2,A,38025,Steve Lodge,18,7,9,4,0,0,8,3,12,15,3,2,0,1,0,0,0,10,1.3,4.3,8.2,1.35,3.8,6.2,1.35,3.75,8,1.3,4.33,8.5,1.33,3.75,9
E0,26/08/2000,Bradford,Leicester,0,0,D,0,0,D,16766,Steve Bennett,8,13,4,8,0,0,6,8,11,12,4,4,1,2,0,0,10,20,2.15,3.3,2.8,2.35,3,2.35,2.4,3.25,2.5,2.3,3.1,2.8,2.5,3.1,2.5
E0,26/08/2000,Everton,Derby,2,2,D,2,0,H,34840,Mike Riley,12,7,9,4,0,0,11,2,11,9,2,2,2,3,0,0,20,30,1.66,3.5,4.1,1.8,3,3.5,1.8,3.25,3.75,1.67,3.25,4.75,1.57,3.5,5
E0,26/08/2000,Ipswich,Sunderland,1,0,H,0,0,D,21830,Graham Poll,14,9,5,3,1,0,7,6,10,12,3,10,1,1,0,0,10,10,2.3,3.2,2.65,2.35,3,2.35,2.75,3.25,2.2,2.5,3.2,2.5,2.5,3.1,2.5
E0,26/08/2000,Man City,Coventry,1,2,A,0,2,A,34140,Andy D'Urso,14,9,5,8,1,0,5,5,7,12,3,10,2,3,0,0,20,30,1.95,3.5,3.1,1.9,3,3.1,2.2,3.25,2.75,2,3.25,3.5,2.1,3.2,3
E0,26/08/2000,Middlesbrough,Leeds,1,2,A,0,2,A,31626,Graham Barber,15,16,8,11,0,0,4,8,12,20,4,5,2,0,0,0,20,0,2.3,3.2,2.65,2.3,3,2.4,2.6,3.4,2.25,2.5,3.2,2.5,2.5,3.1,2.5
E0,26/08/2000,Newcastle,Tottenham,2,0,H,1,0,H,51573,David Ellaray,15,10,6,2,1,1,4,2,13,10,6,4,0,0,0,0,0,0,1.95,3.4,3.25,2,3,2.9,1.9,3.25,3.4,2,3.25,3.25,1.9,3.25,3.4
E0,26/08/2000,Southampton,Liverpool,3,3,D,0,1,A,15202,Jeff Winter,14,9,7,4,2,0,7,1,7,6,4,4,0,0,0,0,0,0,4,3.4,1.7,3.3,3,1.85,3.4,3.25,1.9,3.6,3.2,1.95,3.5,3.2,1.9
E0,26/08/2000,West Ham,Man United,2,2,D,0,1,A,25998,Dermot Gallagher,17,8,8,5,0,2,7,5,12,9,5,1,1,0,0,0,10,0,4.2,3.5,1.65,3.5,3.2,1.75,4,3.2,1.8,4.2,3.4,1.73,4.33,3.4,1.66
E0,27/08/2000,Aston Villa,Chelsea,1,1,D,1,1,D,27056,Paul Durkin,12,11,9,7,0,0,7,10,13,12,2,0,0,1,0,0,0,10,2.7,3.3,2.2,2.35,3,2.35,3,3.2,2.1,2.8,3.25,2.2,3.2,3.2,2
E0,05/09/2000,Leeds,Man City,1,2,A,0,2,A,40055,Graham Poll,6,8,1,3,1,1,9,4,18,24,2,2,2,2,0,0,20,20,1.33,4.2,6.8,1.4,3.6,5.5,1.45,3.6,6.5,1.35,4,8,1.4,3.75,7
E0,05/09/2000,Man United,Bradford,6,0,H,2,0,H,67447,Ian Harris,21,6,12,4,1,1,5,1,12,10,4,9,0,1,0,0,0,10,1.2,5.5,9,1.2,4.7,9,1.25,4.5,10,1.25,5,9,1.2,5.5,9
E0,05/09/2000,Sunderland,West Ham,1,1,D,1,1,D,46605,Peter Jones,17,16,7,9,1,0,4,11,19,14,2,10,2,3,0,0,20,30,2,3.2,3.3,1.85,3,3.3,2.25,3.2,2.75,2.05,3.2,3.2,2.1,3.2,3
E0,05/09/2000,Tottenham,Everton,3,2,H,1,2,A,35316,Barry Knight,11,11,7,6,1,0,7,5,11,10,11,7,1,2,0,0,10,20,1.75,3.3,4,1.7,3.1,3.8,1.7,3.4,4,1.57,3.4,5.5,1.66,3.4,4.33
E0,06/09/2000,Charlton,Southampton,1,1,D,0,0,D,20043,Mark Halsey,8,11,6,3,0,0,10,14,14,16,4,3,3,3,1,0,55,30,2,3.1,3.2,2,2.9,3,2,3.2,3.2,1.83,3.4,3.75,1.8,3.3,3.75
E0,06/09/2000,Chelsea,Arsenal,2,2,D,1,0,H,34923,Mike Riley,12,13,5,5,1,1,7,6,16,22,2,2,3,1,0,0,30,10,2.3,3.1,2.8,2.2,2.9,2.7,2.2,3.25,2.75,2.3,3.1,2.8,2.2,3,3
E0,06/09/2000,Coventry,Newcastle,0,2,A,0,1,A,22109,Alan Wiley,13,13,3,6,1,0,6,8,11,18,10,3,1,1,0,0,10,10,2.4,3.1,2.6,2.35,3,2.35,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.4
E0,06/09/2000,Derby,Middlesbrough,3,3,D,0,1,A,24290,Rob Styles,9,5,5,4,0,0,11,5,8,10,3,5,3,2,0,0,30,20,2.4,3.1,2.6,2.3,2.9,2.5,2.4,3.25,2.5,2.4,3.2,2.6,2.4,3.25,2.5
E0,06/09/2000,Leicester,Ipswich,2,1,H,0,0,D,19598,Paul Taylor,12,7,6,3,0,0,6,2,12,13,3,0,1,1,0,0,10,10,1.7,3.4,4.15,1.7,3.1,3.8,1.55,3.5,5,1.7,3.25,4.5,1.66,3.4,4.33
E0,06/09/2000,Liverpool,Aston Villa,3,1,H,3,0,H,43360,Neale Barry,11,9,7,4,0,0,8,7,13,7,4,3,0,2,0,0,0,20,1.66,3.4,4.5,1.6,3.2,4.2,1.55,3.5,5,1.62,3.4,5,1.57,3.5,5
E0,09/09/2000,Bradford,Arsenal,1,1,D,1,0,H,17160,Alan Wiley,9,18,5,11,0,1,4,10,17,13,4,7,0,2,0,0,0,20,4.6,3.4,1.6,3.8,3.1,1.7,4,3.4,1.7,4.5,3.3,1.7,4.5,3.5,1.61
E0,09/09/2000,Coventry,Leeds,0,0,D,0,0,D,20377,Paul Durkin,9,11,1,5,0,0,6,6,15,14,3,10,2,2,0,0,20,20,3.05,3.2,2.1,2.7,2.9,2.2,3.5,3.2,1.9,3.1,3.1,2.15,3,3.2,2.1
E0,09/09/2000,Ipswich,Aston Villa,1,2,A,0,1,A,22065,Andy D'Urso,15,5,5,2,0,0,5,3,9,13,4,3,1,3,0,0,10,30,2.65,3.2,2.3,2.5,2.9,2.3,2.5,3.25,2.4,2.75,3.25,2.25,2.75,3.2,2.25
E0,09/09/2000,Leicester,Southampton,1,0,H,0,0,D,18366,Mike Dean,17,9,6,5,0,0,10,6,6,9,2,1,0,0,0,0,0,0,1.71,3.4,4.2,1.75,3.1,3.6,1.8,3.25,3.75,1.73,3.25,4.33,1.66,3.4,4.33
E0,09/09/2000,Liverpool,Man City,3,2,H,1,0,H,44692,Graham Barber,14,9,8,7,0,0,9,4,17,17,3,5,3,4,0,0,30,40,1.3,3.9,9.2,1.35,3.8,6.2,1.4,3.75,7,1.4,3.75,7.5,1.36,3.75,8
E0,09/09/2000,Man United,Sunderland,3,0,H,1,0,H,67503,Neale Barry,15,5,7,1,1,0,4,4,18,14,3,6,1,3,0,0,10,30,1.25,4.1,9,1.35,3.8,6.2,1.35,3.75,8,1.33,4,9,1.25,4.5,10
